TableName;ApproxRowCount;CreatedDate;ColumnCount
T_HistoryVKImport;COA;22;int;;10;NO
T_HistoryVKImport;IdFibuKonto;23;int;;10;NO
T_HistoryVKProtokoll;IdHistoryVKProtokoll;1;int;;10;NO
T_HistoryVKProtokoll;IdHistoryVK;2;int;;10;NO
T_HistoryVKProtokoll;IdArtikelvarianten;3;int;;10;NO
T_HistoryVKProtokoll;IdAdressen;4;int;;10;NO
T_HistoryVKProtokoll;IdBerechnung;5;int;;10;NO
T_HistoryVKProtokoll;Faktor;6;float;;53;NO
T_HistoryVKProtokoll;GueltigAbDatumAlt;7;datetime;;;NO
T_HistoryVKProtokoll;GueltigAbDatumNeu;8;datetime;;;NO
T_HistoryVKProtokoll;VKPreisAlt;9;float;;53;NO
