TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
dbo;T_Bestellvorschlaege;IdMengeneinheit;int;NULL;YES;13
dbo;T_Bestellvorschlaege;IdPreisLogik;int;NULL;YES;14
dbo;T_Bestellvorschlaege;IdPreisEinheit;int;NULL;YES;15
dbo;T_Bestellvorschlaege;PreisProEinheit;float;NULL;YES;16
dbo;T_Bestellvorschlaege;IdVpkVorschrift;int;NULL;YES;17
dbo;T_Bestellvorschlaege;MengeProVpk;float;NULL;YES;18
dbo;T_Bestellvorschlaege;Bestellt;int;NULL;NO;19
dbo;T_Bestellvorschlaege;IdArtikeltyp;int;NULL;NO;20
dbo;T_Bestellvorschlaege;IdArtikelvariantenTyp;int;NULL;NO;21
dbo;T_Bestellvorschlaege;IdRahmenbestellungPosition;int;NULL;NO;22
dbo;T_Bestellvorschlaege;IdJournal;int;NULL;NO;23
dbo;T_Bestellvorschlaege;Preistyp;int;NULL;YES;24
dbo;T_Bestellvorschlaege;IdHistoryEKKunde;int;NULL;YES;25
dbo;T_Bestellvorschlaege;AxStatus;int;NULL;NO;26
dbo;T_EAIFakturaPositionen;BestellDatum;datetime;NULL;YES;16
dbo;T_EAIFakturaPositionen;BestellMenge;float;NULL;YES;17
dbo;T_EAIFakturaPositionen;BestellMengeVPK;float;NULL;YES;18
dbo;T_EAIJournal;IdBestellVorschlag;int;NULL;YES;53
dbo;T_EAIJournal;BestellVorschlagRevision;int;NULL;YES;54
dbo;T_EAIJournalBestellPosition;IdJournalBestellPosition;int;NULL;NO;1
dbo;T_EAIJournalBestellPosition;IdJournal;int;NULL;NO;2
dbo;T_EAIJournalBestellPosition;PositionNr;int;NULL;YES;3
dbo;T_EAIJournalBestellPosition;PositionBez;nvarchar;255;YES;4
dbo;T_EAIJournalBestellPosition;BestellDatum;datetime;NULL;YES;5
dbo;T_EAIJournalBestellPosition;Liefertermin;datetime;NULL;YES;6
dbo;T_EAIJournalBestellPosition;IdAuftrag;int;NULL;YES;7
dbo;T_EAIJournalBestellPosition;AuftragsNummer;nvarchar;50;YES;8
dbo;T_EAIJournalBestellPosition;IdAuftragsPosition;int;NULL;YES;9
dbo;T_EAIJournalBestellPosition;AuftragsPositionsNummer;nvarchar;50;YES;10
dbo;T_EAIJournalBestellPosition;IdArtikelTyp;int;NULL;YES;11
dbo;T_EAIJournalBestellPosition;IdProduktionsArtikel;int;NULL;YES;12
dbo;T_EAIJournalBestellPosition;ProduktionsArtikelBez;nvarchar;50;YES;13
dbo;T_EAIJournalBestellPosition;IdArtikelVarianten;int;NULL;YES;14
dbo;T_EAIJournalBestellPosition;ArtikelVariantenBez;nvarchar;50;YES;15
dbo;T_EAIJournalBestellPosition;ArtikelVariantenAlias;nvarchar;100;YES;16
dbo;T_EAIJournalBestellPosition;KundenArtikelNummer;nvarchar;100;YES;17
dbo;T_EAIJournalBestellPosition;KundenArtikelBez;nvarchar;100;YES;18
dbo;T_EAIJournalBestellPosition;BestellMenge;float;NULL;YES;19
dbo;T_EAIJournalBestellPosition;BestellMengeVPK;float;NULL;YES;20
dbo;T_EAIJournalBestellPosition;BestaetigteMenge;float;NULL;YES;21
dbo;T_EAIJournalBestellPosition;BestaetigteMengeVPK;float;NULL;YES;22
dbo;T_EAIJournalBestellPosition;RestAbrufMenge;float;NULL;YES;23
dbo;T_EAIJournalBestellPosition;RestAbrufMengeVPK;float;NULL;YES;24
dbo;T_EAIJournalBestellPosition;IdMengenEinheit;int;NULL;YES;25
dbo;T_EAIJournalBestellPosition;MengenEinheitBez;nvarchar;50;YES;26
dbo;T_EAIJournalBestellPosition;Bemerkung;nvarchar;255;YES;27
dbo;T_EAIJournalBestellPosition;Add_User;nvarchar;50;NO;28
dbo;T_EAIJournalBestellPosition;Add_Date;datetime;NULL;NO;29
dbo;T_EAIJournalBestellPosition;Upd_User;nvarchar;50;YES;30
dbo;T_EAIJournalBestellPosition;Upd_Date;datetime;NULL;YES;31
dbo;T_EAIJournalBestellPosition;IdBestellVorschlag;int;NULL;YES;32
dbo;T_EAIJournalBestellPosition;BestellVorschlagBez;nvarchar;50;YES;33
dbo;T_EAIJournalBestellPosition;BestellVorschlagDatum;datetime;NULL;YES;34
dbo;T_EAIJournalBestellPosition;AuftragsDatum;datetime;NULL;YES;35
dbo;T_EAIJournalBestellPosition;AuftragsPositionsDatum;datetime;NULL;YES;36
dbo;T_EAIJournalBestellPosition;IdHauptmaterial;int;NULL;YES;37
